City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
174,Folkestone,GB,51.0833,1.1833,53.98,72,100,3.0,overcast clouds
175,Bredasdorp,ZA,-34.5322,20.0403,72.37,44,8,21.47,clear sky
176,Pevek,RU,69.7008,170.3133,-18.89,98,96,3.78,overcast clouds
177,Fortuna,US,40.5982,-124.1573,48.65,86,100,6.91,overcast clouds
178,Kauhajoki,FI,62.4333,22.1833,30.76,71,95,8.19,light snow
179,Yulara,AU,-25.2406,130.9889,78.64,34,22,16.11,few clouds
180,Dunedin,NZ,-45.8742,170.5036,61.81,87,44,7.0,scattered clouds
181,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,60,75,13.8,broken clouds
182,Ranong,TH,9.9658,98.6348,79.12,87,3,3.2,clear sky
183,Yumen,CN,40.2833,97.2,46.31,20,13,7.76,few clouds
184,Cabo San Lucas,MX,22.8909,-109.9124,68.5,81,50,4.92,scattered clouds
185,Matveyevka,RU,52.15,56.1833,36.95,99,100,16.26,overcast clouds
186,Chimbote,PE,-9.0853,-78.5783,73.4,75,76,7.54,broken clouds
187,Aykhal,RU,66.0,111.5,7.16,100,97,6.73,overcast clouds
188,Mar Del Plata,AR,-38.0023,-57.5575,51.82,85,75,13.8,shower rain
189,Ahuimanu,US,21.4447,-157.8378,73.45,86,20,5.75,few clouds
190,Northam,GB,51.0333,-4.2167,51.66,77,88,9.62,overcast clouds
191,Provideniya,RU,64.3833,-173.3,2.55,81,77,11.3,broken clouds
192,Zvishavane,ZW,-20.3267,30.0665,80.73,27,2,8.32,clear sky
193,Boysun,UZ,38.2061,67.1986,49.28,53,0,1.74,clear sky
194,Deputatskiy,RU,69.3,139.9,-20.97,100,69,3.51,broken clouds
195,Ketchikan,US,55.3422,-131.6461,40.98,93,100,13.8,light rain
196,Waipawa,NZ,-41.4122,175.5153,57.97,88,59,5.03,broken clouds
197,Port Elizabeth,ZA,-33.918,25.5701,71.1,67,0,12.66,clear sky
198,Miri,MY,4.4148,114.0089,82.54,89,20,3.44,few clouds
199,Barahan,PH,13.0121,120.762,80.94,70,38,5.79,scattered clouds
200,Coihaique,CL,-45.5752,-72.0662,48.15,57,20,3.44,few clouds
201,Mastic Beach,US,40.7668,-72.8521,39.42,35,0,8.05,clear sky
202,Matagami,CA,49.7502,-77.6328,19.51,45,0,8.05,clear sky
203,Praia,CV,14.9215,-23.5087,77.54,57,40,26.46,scattered clouds
