City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
184,Cabo San Lucas,MX,68.5,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
185,Matveyevka,RU,36.95,overcast clouds,52.15,56.1833,
186,Chimbote,PE,73.4,broken clouds,-9.0853,-78.5783,Hotel Briliá
188,Mar Del Plata,AR,51.82,shower rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
189,Ahuimanu,US,73.45,few clouds,21.4447,-157.8378,Paradise Bay Resort
190,Northam,GB,51.66,overcast clouds,51.0333,-4.2167,Durrant House Hotel
192,Zvishavane,ZW,80.73,clear sky,-20.3267,30.0665,Hotel Boutique Runde
193,Boysun,UZ,49.28,clear sky,38.2061,67.1986,Gaza Hotel
195,Ketchikan,US,40.98,light rain,55.3422,-131.6461,Snow's Cove Lodge
196,Waipawa,NZ,57.97,broken clouds,-41.4122,175.5153,Tora Coastal Walk
197,Port Elizabeth,ZA,71.1,clear sky,-33.918,25.5701,39 On Nile Guest House
198,Miri,MY,82.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
199,Barahan,PH,80.94,scattered clouds,13.0121,120.762,Grand Creek Hotel and Resort
200,Coihaique,CL,48.15,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
201,Mastic Beach,US,39.42,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
203,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
204,Malanje,AO,75.58,broken clouds,-9.5402,16.341,Hotel Ginga
205,Hastings,GB,54.39,overcast clouds,50.8552,0.5729,Zanzibar Hotel
206,Mildura,AU,60.76,clear sky,-34.2,142.15,Mercure Hotel Mildura
207,Klaksvik,FO,38.32,overcast clouds,62.2266,-6.589,Airbnb rooms
208,Lubango,AO,84.06,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
209,Alanya,TR,66.33,clear sky,36.5438,31.9998,Panorama Hotel
211,Sitka,US,42.69,light rain,57.0531,-135.33,Westmark Sitka
213,Emerald,AU,73.54,light rain,-23.5333,148.1667,The Irish Village
215,Saint-Augustin,CA,35.17,overcast clouds,51.226,-58.6502,
216,Issia,CI,88.23,overcast clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
217,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
218,Port Hardy,CA,42.8,light intensity shower rain,50.6996,-127.4199,Airport Inn-Port Hardy
219,Narsaq,GL,50.22,few clouds,60.9167,-46.05,Sleep In Narsaq
220,Erzin,TR,62.92,clear sky,36.9559,36.2,Artemis Otel
221,San Patricio,US,75.16,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
222,Broome,US,31.37,overcast clouds,42.2506,-75.833,Chenango Valley State Park
223,Karratha,AU,82.17,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
225,Rio Grande,BR,66.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
227,Bata,GQ,87.66,scattered clouds,1.8639,9.7658,Hotel Elik Melen
230,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
231,Richards Bay,ZA,80.94,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
232,Narrabri,AU,64.49,clear sky,-30.3167,149.7833,Crossroads Hotel
234,Taltal,CL,65.84,few clouds,-25.4,-70.4833,Residencial Karime
235,Bambous Virieux,MU,77.25,moderate rain,-20.3428,57.7575,Casa Tia Villa
236,Hof,DE,42.46,overcast clouds,50.3167,11.9167,Hotel Burghof
237,Mount Gambier,AU,57.11,overcast clouds,-37.8333,140.7667,The Commodore
239,Acarau,BR,85.77,broken clouds,-2.8856,-40.12,castelo pizzaria
240,Kaitangata,NZ,53.6,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
242,Gat,IL,65.79,broken clouds,31.61,34.7642,OlusHome
243,Vanimo,PG,78.91,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
245,Sur,OM,79.21,clear sky,22.5667,59.5289,Sur Plaza Hotel
247,Gamba,GA,83.41,few clouds,-2.65,10.0,
248,Lagoa,PT,61.23,broken clouds,39.05,-27.9833,Casa Das Faias
249,Kudahuvadhoo,MV,82.54,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
250,Pyay,MM,84.94,clear sky,18.8167,95.2167,Shwe Pyi Thar
251,Touros,BR,87.44,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
252,Todos Santos,MX,66.34,clear sky,23.45,-110.2167,Hotel California Todos Santos
253,Abu Samrah,SY,65.48,clear sky,35.3029,37.1841,
255,Porto Santo,PT,66.58,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
256,Kirakira,SB,80.46,moderate rain,-10.4544,161.9205,SanBiz Lodge
258,Aripuana,BR,73.42,overcast clouds,-9.1667,-60.6333,
260,Kaka,TM,60.67,clear sky,37.3482,59.6143,
261,Fare,PF,81.93,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
262,Caravelas,BR,84.94,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
264,Korla,CN,46.15,clear sky,41.7597,86.1469,Gulisitan Hotel
265,Isla Mujeres,MX,80.65,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
266,Basco,PH,80.06,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
268,Puerto Baquerizo Moreno,EC,79.79,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
269,Prainha,BR,73.78,moderate rain,-1.8,-53.48,Casa Rocha
271,Akcakoca,TR,59.02,scattered clouds,41.0866,31.1162,Turkuaz Beach Otel
272,Limulunga,ZM,73.08,overcast clouds,-15.0969,23.1376,Acamms Gardens
274,Coquimbo,CL,58.73,broken clouds,-29.9533,-71.3436,Hotel San Juan
275,Xingcheng,CN,40.37,scattered clouds,40.6167,120.7167,New Century Hotel
276,Meulaboh,ID,77.95,overcast clouds,4.1363,96.1285,Kost Pria
278,Twin Falls,US,41.94,clear sky,42.3505,-114.6445,
279,Grand Gaube,MU,77.4,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
280,Perelyub,RU,35.01,light snow,51.8667,50.3667,
281,Manggar,ID,80.58,few clouds,-2.8833,108.2667,Guest Hotel
282,Dong Hoi,VN,74.3,overcast clouds,17.4833,106.6,Nam Long Hotel
283,Swan Hill,AU,57.45,clear sky,-35.3378,143.5544,Lazy River Motor Inn
285,Los Llanos De Aridane,ES,64.15,few clouds,28.6585,-17.9182,Valle Aridane
288,Ciudad Bolivar,VE,86.47,overcast clouds,8.1222,-63.5497,Hotel Edi
289,Comodoro Rivadavia,AR,55.26,clear sky,-45.8667,-67.5,Austral Hotel
291,Hervey Bay,AU,73.13,clear sky,-25.2986,152.8535,Shelly Bay Resort
292,Moranbah,AU,72.97,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
294,Fez,MA,59.25,broken clouds,34.0372,-4.9998,Hotel Mounia Fès
296,Barkly West,ZA,85.28,scattered clouds,-28.5354,24.5215,Stafford Parker Guest House
300,Butembo,CD,65.89,overcast clouds,0.15,29.2833,Hotel Butembo
301,Turbat,PK,86.32,clear sky,26.0023,63.044,Mubashar Quarters
303,Manaus,BR,81.1,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
305,Diu,IN,79.86,clear sky,20.7141,70.9822,Hotel Relax Inn
306,Valparaiso,CL,77.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
307,Hofn,IS,35.62,overcast clouds,64.2539,-15.2082,Hótel Höfn
308,Zhangye,CN,46.62,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
